small cell lung carcinoma	hsa-mir-378g
patau syndrome	hsa-mir-522
cerebral ischemia	hsa-mir-381
periodontal diseases	hsa-mir-339
fatty liver	hsa-mir-1909
hev	hsa-mir-589
muscular dystrophy, duchenne	hsa-mir-523
acute lung injury	hsa-mir-296
neurodegenerative diseases	hsa-mir-324
cocaine-related disorders	hsa-mir-596
carcinoma, small cell	hsa-mir-1180
reperfusion injury	hsa-mir-338
atrophy	hsa-mir-495
skin neoplasms	hsa-mir-128
myocardial reperfusion injury	hsa-mir-766
cerebral infarction	hsa-mir-518e
heart failure	hsa-mir-647
myocytes, cardiac	hsa-mir-527
waldenstrom macroglobulinemia	hsa-mir-1915
acth-secreting pituitary adenoma	hsa-mir-181d
odontogenic tumors	hsa-mir-326
retinal neovascularization	hsa-mir-1299
diabetic retinopathy	hsa-let-7g
skin neoplasms	hsa-mir-1296
intellectual disability	hsa-mir-378b
hyperglycemia	hsa-mir-520g
multiple myeloma	hsa-mir-297
hepatitis c, chronic	hsa-mir-378f
sarcoma, ewing's	hsa-let-7c
aging	hsa-mir-488
psychotic disorders	hsa-mir-204
drug-induced liver injury	hsa-mir-323b
giant cell tumors	hsa-mir-190b
amyloidosis	hsa-mir-601
papilary thyroid carcinoma	hsa-mir-935
brain injuries	hsa-mir-517a
esophagus	hsa-mir-451b
renal insufficiency	hsa-mir-424
hypertrophy	hsa-mir-711
myotonic dystrophy	hsa-mir-124a
lupus nephritis	hsa-mir-1275
albuminuria	hsa-mir-499a
musculoskeletal abnormalities	hsa-mir-658
endothelium, vascular	hsa-mir-593
aortic valve insufficiency	hsa-mir-675
ovarian neoplasms	hsa-mir-525
angina, unstable	hsa-mir-30d
dementia	hsa-mir-30a
anxiety disorders	hsa-mir-1303
aortic valve stenosis	hsa-mir-599
glomerulonephritis	hsa-mir-218
granulosa cell tumor	hsa-mir-106b
acth-secreting pituitary adenoma	hsa-mir-598
wounds and injuries	hsa-mir-596
aortic aneurysm, abdominal	hsa-mir-532
lymphoma	hsa-mir-208b
hiv infection	hsa-mir-409
keratoconus	hsa-mir-186
eye abnormalities	hsa-mir-521
carcinoma, squamous cell	hsa-mir-320e
nerve sheath neoplasms	hsa-mir-95
arthritis, psoriatic	hsa-mir-510
biliary tract neoplasms	hsa-mir-375
hepatoblastoma	hsa-mir-30e
diabetic nephropathies	hsa-mir-1246
lymphoma, large b-cell, diffuse	hsa-mir-424
carcinoma, non-small-cell lung	hsa-mir-1184
glomerulonephritis, iga	hsa-mir-194
lymphoma	hsa-mir-941
rectal neoplasms	hsa-mir-499a
albuminuria	hsa-mir-1273c
colitis	hsa-mir-648
nerve sheath neoplasms	hsa-mir-16
tongue neoplasms	hsa-mir-1
marek disease	hsa-mir-181a
chondrodysplasia punctata	hsa-mir-22
anus neoplasms	hsa-mir-1286
sarcoma, synovial	hsa-mir-548d
aortic valve insufficiency	hsa-mir-92b
mesothelioma	hsa-mir-515
astrocytoma	hsa-mir-144
mycosis fungoides	hsa-mir-24
bladder neoplasms	hsa-mir-539
periodontitis	hsa-mir-152
acquired immunodeficiency syndrome	hsa-mir-302a
lymphoma, b-cell	hsa-mir-1972
hearing loss	hsa-mir-320c
osteosarcoma 	hsa-mir-708
brain neoplasms	hsa-mir-922
granulosa cell tumor	hsa-mir-431
aortic valve insufficiency	hsa-mir-503
coronary artery disease	hsa-mir-139
kidney neoplasms	hsa-mir-101
muscular dystrophies	hsa-mir-361
stomach neoplasms 	hsa-mir-3151
stomach diseases	hsa-mir-545
sepsis	hsa-mir-128
cerebral hemorrhage	hsa-mir-28
anemia, sickle cell	hsa-mir-2110
lung diseases, interstitial	hsa-mir-451
heart failure	hsa-mir-26b
medulloblastoma	hsa-mir-92b
muscular dystrophy, facioscapulohumeral	hsa-mir-1245b
psoriasis	hsa-mir-3196
sarcoma, ewing's	hsa-mir-641
carcinoma, endometrioid	hsa-mir-381
alzheimer disease	hsa-mir-377
lymphoma, large b-cell, diffuse	hsa-mir-1254
adenoma	hsa-mir-133a
behcet syndrome	hsa-mir-490
pulmonary fibrosis	hsa-mir-28
myocytes, cardiac	hsa-mir-338
hcmv infection	hsa-mir-574
myotonic dystrophy	hsa-mir-149
glioma	hsa-mir-490
neoplasms, germ cell and embryonal	hsa-mir-34a
leprosy	hsa-mir-711
muscular dystrophy, facioscapulohumeral	hsa-mir-542
hepatitis c, chronic	hsa-mir-1184
hiv	hsa-mir-376a
carcinoma, ehrlich tumor	hsa-mir-95
metabolic diseases	hsa-mir-140
hamartoma syndrome, multiple	hsa-mir-657
diabetes mellitus, type 1	hsa-mir-593
hodgkin disease	hsa-mir-320a
carcinoma, ductal, breast	hsa-mir-509
stomach neoplasms 	hsa-mir-1287
adrenocortical carcinoma	hsa-mir-33b
vitiligo	hsa-mir-345
laryngeal neoplasms	hsa-mir-367
rna virus infections	hsa-mir-711
inflammatory bowel diseases	hsa-mir-657
endothelium, vascular	hsa-mir-655
fatty liver, non-alcoholic	hsa-mir-504
eye abnormalities	hsa-mir-135a
pre-eclampsia	hsa-mir-151a
lymphoma, mantle-cell	hsa-mir-382
urinary bladder neoplasms	hsa-mir-190a
hepatoblastoma	hsa-mir-1290
ovarian neoplasms	hsa-mir-15a
alzheimer disease	hsa-mir-642a
sars virus	hsa-mir-129
lupus erythematosus, systemic	hsa-mir-126
ovary syndrome	hsa-mir-326
prostatic neoplasms	hsa-mir-182
creutzfeldt-jakob syndrome	hsa-mir-195
osteoarthritis	hsa-mir-519e
leukemia, b-cell	hsa-mir-1303
sjogren's syndrome	hsa-mir-376c
prion diseases	hsa-mir-300
lipid metabolism disorders	hsa-mir-1184
hepatitis b	hsa-mir-30e
salivary gland neoplasms	hsa-mir-619
renal insufficiency	hsa-mir-92b
prrsv infection	hsa-mir-1247
colorectal neoplasms	hsa-mir-18b
bladder neoplasms	hsa-mir-516a
colorectal neoplasms	hsa-mir-500b
neoplasms, germ cell and embryonal	hsa-mir-642a
carcinoma, renal cell	hsa-mir-376b
central nervous system diseases	hsa-mir-203
aortic aneurysm, abdominal	hsa-mir-23b
endometrial neoplasms	hsa-mir-381
intellectual disability	hsa-mir-325
retinal degeneration	hsa-mir-212
sars virus	hsa-mir-583
cicatrix	hsa-mir-335
hepatoblastoma	hsa-mir-199a
leukemia, biphenotypic, acute	hsa-mir-509
bladder neoplasms	hsa-mir-223
leukemia, lymphocytic, chronic, b-cell	hsa-mir-410
endothelium, vascular	hsa-mir-339
patau syndrome	hsa-mir-92b
hearing loss	hsa-mir-511
glioma	hsa-mir-199b
rectal neoplasms	hsa-mir-204
myocarditis	hsa-mir-520g
cystitis, interstitial	hsa-mir-488
autoimmune diseases	hsa-mir-376c
digestive system neoplasms	hsa-mir-501
colonic neoplasms	hsa-mir-654
francisella	hsa-mir-3186
adrenocortical carcinoma	hsa-mir-192
hepatitis c, chronic	hsa-mir-411
precursor b-cell lymphoblastic leukemia-lymphoma	hsa-mir-127
carotid artery diseases	hsa-mir-133a
inflammation	hsa-mir-302f
hypertrophy, left ventricular	hsa-mir-512
abortion, habitual	hsa-mir-1273c
musculoskeletal abnormalities	hsa-mir-185
supranuclear palsy, progressive	hsa-mir-130b
pre-eclampsia	hsa-mir-378b
eye abnormalities	hsa-mir-376c
neurofibromatosis 2	hsa-mir-1
influenza, human	hsa-mir-668
gerstmann-straussler-scheinker disease	hsa-mir-593
musculoskeletal abnormalities	hsa-mir-409
biliary tract neoplasms	hsa-mir-372
leukemia, myeloid, chronic-phase	hsa-mir-198
dermatitis, atopic	hsa-mir-1233
leukemia, myelogenous, chronic, bcr-abl positive	hsa-mir-144
infertility, male	hsa-mir-433
lymphoma, large b-cell, diffuse	hsa-mir-330
fanconi anemia	hsa-mir-185
myelodysplastic syndromes	hsa-mir-222
pulmonary disease, chronic obstructive	hsa-mir-614
fragile x syndrome	hsa-mir-20b
acth-secreting pituitary adenoma	hsa-mir-130b
endometriosis	hsa-mir-493
sjogren's syndrome	hsa-mir-382
hemangioma	hsa-mir-503
diabetes mellitus, type 1	hsa-mir-451
muscular disorders, atrophic	hsa-mir-28
cholangiocarcinoma	hsa-mir-339
heart failure	hsa-mir-519d
antiphospholipid syndrome	hsa-mir-125b
down syndrome	hsa-mir-493
cerebellar neoplasms	hsa-mir-451b
hearing loss	hsa-mir-2861
leukemia, promyelocytic, acute	hsa-mir-302e
lymphoma, non-hodgkin	hsa-mir-583
influenza, human	hsa-mir-378a
mesothelioma	hsa-mir-301b
acute lung injury	hsa-mir-449b
myotonic dystrophy	hsa-mir-574
digestive system neoplasms	hsa-mir-569
bladder neoplasms	hsa-mir-1254
colitis	hsa-mir-302f
osteoarthritis	hsa-mir-132
glioma	hsa-mir-520d
diabetes mellitus	hsa-mir-635
multiple endocrine neoplasia type 1	hsa-mir-635
polycystic kidney diseases	hsa-mir-499a
hepatitis	hsa-mir-508
mouth neoplasms	hsa-mir-655
leukemia, biphenotypic, acute	hsa-mir-657
parkinson disease	hsa-mir-628
kidney failure, chronic	hsa-mir-372
renal insufficiency	hsa-mir-324
mouth neoplasms	hsa-mir-575
myocardium	hsa-mir-338
sarcoma, ewing	hsa-mir-513b
myotonic dystrophy	hsa-mir-382
arrhythmias, cardiac	hsa-mir-3163
muscular disorders, atrophic	hsa-mir-378a
aortic aneurysm, thoracic	hsa-mir-624
sarcoma, kaposi	hsa-mir-151
oligodendroglioma	hsa-mir-1246
stroke	hsa-mir-219
biliary atresia	hsa-mir-519e
leukemia, myeloid, chronic-phase	hsa-mir-155
lymphoma, primary effusion	hsa-mir-147a
colorectal neoplasms, hereditary nonpolyposis	hsa-mir-1233
pemphigus, benign familial	hsa-mir-181a
albuminuria	hsa-mir-571
hiv-1	hsa-mir-1302
keratoconus	hsa-mir-378i
pulmonary fibrosis	hsa-mir-92
atrophy	hsa-mir-1202
digestive system neoplasms	hsa-mir-370
neoplasms, germ cell and embryonal	hsa-mir-630
siv infection	hsa-mir-133a
odontogenic tumors	hsa-mir-1273a
liposarcoma	hsa-mir-520b
wounds and injuries	hsa-mir-514a
leukemia, lymphoblastic, acute	hsa-mir-513a
hiv infection	hsa-mir-376b
stroke	hsa-mir-425
lymphoproliferative disorders	hsa-mir-603
intellectual disability	hsa-mir-449c
fibrosarcoma	hsa-mir-575
nerve sheath neoplasms	hsa-mir-567
crohn disease	hsa-mir-494
leukemia, biphenotypic, acute	hsa-mir-331
melanoma	hsa-mir-3148
leiomyoma	hsa-mir-199a
esophagus	hsa-mir-326
psychotic disorders	hsa-mir-593
leukemia, lymphoblastic, chronic	hsa-mir-205
carcinoma, embryonal	hsa-mir-520d
head and neck neoplasms	hsa-mir-611
colonic neoplasms	hsa-mir-718
psoriasis	hsa-mir-185
myocarditis	hsa-mir-582
retinoblastoma	hsa-mir-520e
esophagus	hsa-mir-410
reperfusion injury	hsa-mir-26b
leiomyoma	hsa-mir-3163
graft vs host disease	hsa-mir-100
pituitary adenomas	hsa-mir-451
adenoma	hsa-mir-196a
